"Symbol";"ContractSize";"Digits";"Currency";"Price";"Category";"Sub_Category"
"EURUSD";100000.0;2;"USD";1.18158;"Forex";"Forex"
"GBPUSD";100000.0;2;"USD";1.37644;"Forex";"Forex"
"USDJPY";100000.0;2;"JPY";110.255;"Forex";"Forex"
"USDCHF";100000.0;2;"CHF";0.92103;"Forex";"Forex"
"USDCAD";100000.0;2;"CAD";1.26709;"Forex";"Forex"
"AUDUSD";100000.0;2;"USD";0.73749;"Forex";"Forex"
"EURGBP";100000.0;2;"GBP";0.85841;"Forex";"Forex"
"EURCHF";100000.0;2;"CHF";1.08827;"Forex";"Forex"
"EURJPY";100000.0;2;"JPY";130.274;"Forex";"Forex"
"NZDUSD";100000.0;2;"USD";0.70999;"Forex";"Forex"
"AUDNZD";100000.0;2;"NZD";1.03858;"Forex";"Minor"
"AUDCAD";100000.0;2;"CAD";0.93441;"Forex";"Minor"
"AUDCHF";100000.0;2;"CHF";0.67919;"Forex";"Minor"
"AUDJPY";100000.0;2;"JPY";81.31;"Forex";"Minor"
"CHFJPY";100000.0;2;"JPY";119.696;"Forex";"Minor"
"EURAUD";100000.0;2;"AUD";1.60205;"Forex";"Minor"
"EURNZD";100000.0;2;"NZD";1.66405;"Forex";"Minor"
"EURCAD";100000.0;2;"CAD";1.49711;"Forex";"Minor"
"GBPCHF";100000.0;2;"CHF";1.26763;"Forex";"Minor"
"GBPJPY";100000.0;2;"JPY";151.758;"Forex";"Minor"
"CADCHF";100000.0;2;"CHF";0.72675;"Forex";"Minor"
"CADJPY";100000.0;2;"JPY";87.008;"Forex";"Minor"
"GBPAUD";100000.0;2;"AUD";1.86631;"Forex";"Minor"
"GBPCAD";100000.0;2;"CAD";1.74396;"Forex";"Minor"
"GBPNZD";100000.0;2;"NZD";1.93848;"Forex";"Minor"
"NZDCAD";100000.0;2;"CAD";0.89951;"Forex";"Minor"
"NZDCHF";100000.0;2;"CHF";0.65383;"Forex";"Minor"
"NZDJPY";100000.0;2;"JPY";78.272;"Forex";"Minor"
"EURDKK";100000.0;2;"DKK";7.43524;"Forex";"Exotic"
"EURHUF";100000.0;2;"HUF";349.278;"Forex";"Exotic"
"EURNOK";100000.0;2;"NOK";10.27494;"Forex";"Exotic"
"EURPLN";100000.0;2;"PLN";4.51747;"Forex";"Exotic"
"EURSEK";100000.0;2;"SEK";10.17602;"Forex";"Exotic"
"EURTRY";100000.0;2;"TRY";9.98481;"Forex";"Exotic"
"USDBRL";100000.0;5;"BRL";5.16906;"Forex";"Exotic"
"USDDKK";100000.0;2;"DKK";6.29245;"Forex";"Exotic"
"USDHKD";100000.0;2;"HKD";7.77483;"Forex";"Exotic"
"USDHUF";100000.0;2;"HUF";295.508;"Forex";"Exotic"
"USDKWD";100000.0;2;"KWD";0.3003;"Forex";"Exotic"
"USDMXN";100000.0;2;"MXN";19.91511;"Forex";"Exotic"
"USDNOK";100000.0;2;"NOK";8.69701;"Forex";"Exotic"
"USDPLN";100000.0;2;"PLN";3.82329;"Forex";"Exotic"
"USDRUB";100000.0;2;"RUB";73.3554;"Forex";"Exotic"
"USDSEK";100000.0;2;"SEK";8.61127;"Forex";"Exotic"
"USDSGD";100000.0;2;"SGD";1.34545;"Forex";"Exotic"
"USDTRY";100000.0;2;"TRY";8.44617;"Forex";"Exotic"
"USDZAR";100000.0;2;"ZAR";14.31035;"Forex";"Exotic"
"3M";100.0;2;"USD";185.12;"Shares";"USD"
"ABB";100.0;2;"SEK";316.36;"Shares";"SEK"
"ADOBE";100.0;2;"USD";661.06;"Shares";"USD"
"ADS";100.0;2;"EUR";300.834;"Shares";"EUR"
"AIG";100.0;2;"USD";54.67;"Shares";"USD"
"AIRBUS";100.0;2;"EUR";114.414;"Shares";"EUR"
"AIRLIQUID";100.0;2;"EUR";150.743;"Shares";"EUR"
"ALCOA";100.0;2;"USD";46.58;"Shares";"USD"
"ALLI";100.0;2;"EUR";196.761;"Shares";"EUR"
